URL,Title,Price,Location,Features,Details
https://www.mubawab.tn/fr/a/8120585/vente-studio-el-kantaoui,El Kantaoui à Hammam Sousse,179000 TND,Se connecter | Immobilier Tunisie | Immobilier Hammam Sousse | Appartements Hammam Sousse | El Kantaoui,40 						m² | 1 Pièce | 1 Chambre | 1 Salle de bain | 40 						m² | 1 Pièce | 1 Chambre | 1 Salle de bain,Type de bien: Appartement | Etat: Bon état | Années: 10-20 ans | Étage du bien: 1er | Type du sol: Carrelage | Terrasse: Yes | Garage: Yes | Piscine: Yes | Concierge: Yes | Meublé: Yes | Façade extérieure: Yes | Salon européen: Yes | Antenne parabolique: Yes | Climatisation: Yes | Double vitrage: Yes | Cuisine équipée: Yes | Réfrigérateur: Yes | Four: Yes | Micro-ondes: Yes
https://www.mubawab.tn/fr/a/8100355/a-vendre-s2-%C3%A0-la-marsa,Cité El Moez à La Marsa,450000 TND,Se connecter | Immobilier Tunisie | Immobilier La Marsa | Appartements La Marsa | Cité El Moez,122 						m² | 3 Pièces | 2 Chambres | 2 Salles de bains | 122 						m² | 3 Pièces | 2 Chambres | 2 Salles de bains,Type de bien: Appartement | Surface habitable: 122 								m² | Surface extérieure: 10 								m² | Etat: Nouveau | Années: 5-10 ans | Étage du bien: 2ème | Orientation: Nord | Type du sol: Marbre | Terrasse: Yes | Garage: Yes | Ascenseur: Yes | Concierge: Yes | Antenne parabolique: Yes | Climatisation: Yes | Chauffage central: Yes | Sécurité: Yes | Double vitrage: Yes | Porte blindée: Yes | Cuisine équipée: Yes | Four: Yes | Micro-ondes: Yes
https://www.mubawab.tn/fr/a/8169742/s2-en-vente,Ben Arous à Ben Arous,80000 TND,Se connecter | Immobilier Tunisie | Immobilier Ben Arous | Appartements Ben Arous | Ben Arous,70 						m² | 70 						m²,Type de bien: Appartement
https://www.mubawab.tn/fr/a/8169740/s3-en-vente,Ariana Ville,147000 TND,Se connecter | Immobilier Tunisie | Immobilier Ariana Ville | Appartements Ariana Ville,90 						m² | 90 						m²,Type de bien: Appartement | Sécurité: Yes
https://www.mubawab.tn/fr/a/8169656/s4-en-vente,Les Berges Du Lac 2 à La Marsa,850000 TND,Se connecter | Immobilier Tunisie | Immobilier La Marsa | Appartements La Marsa | Les Berges Du Lac 2,160 						m² | 160 						m²,Type de bien: Appartement | Garage: Yes | Chauffage central: Yes | Cuisine équipée: Yes | Four: Yes
https://www.mubawab.tn/fr/a/7823298/a-vendre-un-appartement-s3-a-hammamet-nord,Hammamet Nord à Hammamet,585000 TND,Se connecter | Immobilier Tunisie | Immobilier Hammamet | Appartements Hammamet | Hammamet Nord,162 						m² | 4 Pièces | 3 Chambres | 2 Salles de bains | 162 						m² | 4 Pièces | 3 Chambres | 2 Salles de bains,Type de bien: Appartement | Etat: Nouveau | Terrasse: Yes | Garage: Yes | Ascenseur: Yes | Piscine: Yes
https://www.mubawab.tn/fr/a/8169634/a-vendre-un-appartement-s3-%C3%A0-ennaser-2,Cité Ennasr 2 à Ariana Ville,335000 TND,Se connecter | Immobilier Tunisie | Immobilier Ariana Ville | Appartements Ariana Ville | Cité Ennasr 2,150 						m² | 3 Pièces | 3 Chambres | 2 Salles de bains | 150 						m² | 3 Pièces | 3 Chambres | 2 Salles de bains,Type de bien: Appartement | Etat: Bon état | Années: 5-10 ans | Étage du bien: 4ème | Terrasse: Yes | Garage: Yes | Ascenseur: Yes | Concierge: Yes | Façade extérieure: Yes | Salon européen: Yes | Antenne parabolique: Yes | Climatisation: Yes | Chauffage central: Yes | Sécurité: Yes | Double vitrage: Yes | Porte blindée: Yes | Cuisine équipée: Yes
https://www.mubawab.tn/fr/a/8043777/un-appartement-s3-sur-plan-%C3%A0-la-soukra,La Soukra à La Soukra,529000 TND,Se connecter | Immobilier Tunisie | Immobilier La Soukra | Appartements La Soukra | La Soukra,139 						m² | 4 Pièces | 3 Chambres | 2 Salles de bains | 139 						m² | 4 Pièces | 3 Chambres | 2 Salles de bains,Type de bien: Appartement | Etat: Nouveau | Cuisine équipée: Yes
https://www.mubawab.tn/fr/pa/8185355/confort-et-%C3%A9l%C3%A9gance-s3-%C3%A0-r%C3%A9sidence-monaco,Chotrana 1 à La Soukra,Prix à consulter,Se connecter | Immobilier Tunisie | Immobilier La Soukra | Appartements La Soukra | Chotrana 1,159 						m² | 4 Pièces | 3 Chambres | 3 Salles de bains | 159 						m² | 4 Pièces | 3 Chambres | 3 Salles de bains,Type de bien: Appartement | Etat: Nouveau | Années: Moins d'un an | Étage du bien: 1er | Standing: Haut standing | État: En cours de construction | Livraison:: novembre 2026 | Terrasse: Yes | Garage: Yes | Façade extérieure: Yes | Climatisation: Yes | Chauffage central: Yes | Sécurité: Yes | Double vitrage: Yes | Porte blindée: Yes | Cuisine équipée: Yes | Four: Yes
https://www.mubawab.tn/fr/a/8190110/appartement-s2-%C3%A0-vendre-jardin-de-carthage,Les Jardins de Carthage à Le Kram,580000 TND,Se connecter | Immobilier Tunisie | Immobilier Le Kram | Appartements Le Kram | Les Jardins de Carthage,110 						m² | 3 Chambres | 110 						m² | 3 Chambres,Type de bien: Appartement | Terrasse: Yes | Garage: Yes | Cuisine équipée: Yes
https://www.mubawab.tn/fr/pa/8176252/superbe-appartement-s2-%C3%A0-vendre,Les Jardins de Carthage à Le Kram,458000 TND,Se connecter | Immobilier Tunisie | Immobilier Le Kram | Appartements Le Kram | Les Jardins de Carthage,85 						m² | 3 Pièces | 2 Chambres | 1 Salle de bain | 85 						m² | 3 Pièces | 2 Chambres | 1 Salle de bain,Type de bien: Appartement | Etat: Nouveau | Étage du bien: 3ème | Type du sol: Marbre | Standing: Haut standing | État: En cours de construction | Livraison:: juin 2027 | Jardin: Yes | Terrasse: Yes | Garage: Yes | Ascenseur: Yes | Concierge: Yes | Antenne parabolique: Yes | Climatisation: Yes | Chauffage central: Yes | Sécurité: Yes | Double vitrage: Yes | Porte blindée: Yes | Cuisine équipée: Yes | Four: Yes
https://www.mubawab.tn/fr/a/7897384/appartements-direct-promoteur-%C3%A0-vendre-aux-jardins-de-carthage,Les Jardins de Carthage à Le Kram,Prix à consulter,Se connecter | Immobilier Tunisie | Immobilier Le Kram | Appartements Le Kram | Les Jardins de Carthage,155 						m² | 3 Chambres | 155 						m² | 3 Chambres,Type de bien: Appartement
https://www.mubawab.tn/fr/pa/8176274/appartement-s2-de-haut-standing,Les Jardins de Carthage à Le Kram,649000 TND,Se connecter | Immobilier Tunisie | Immobilier Le Kram | Appartements Le Kram | Les Jardins de Carthage,120 						m² | 4 Pièces | 2 Chambres | 2 Salles de bains | 120 						m² | 4 Pièces | 2 Chambres | 2 Salles de bains,Type de bien: Appartement | Etat: Nouveau | Étage du bien: 5ème | Type du sol: Marbre | Standing: Haut standing | État: En cours de construction | Livraison:: juin 2027 | Terrasse: Yes | Ascenseur: Yes | Concierge: Yes | Antenne parabolique: Yes | Climatisation: Yes | Chauffage central: Yes | Sécurité: Yes | Double vitrage: Yes | Porte blindée: Yes | Cuisine équipée: Yes | Four: Yes
