Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
Ksar Said à Le Bardo,70000 TND,Immobilier Le Bardo,Ksar Said,88 						m² ,, 1 Pièce , 3 Chambres ,,,À rénover,,,,,,,,Yes,,,Yes
Hammamet à Hammamet,520000 TND,Immobilier Hammamet,Hammamet,164 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,,Yes,Yes,,,
Les Jardins de Carthage à Le Kram,796000 TND,Immobilier Le Kram,Les Jardins de Carthage,225 						m² , 6 Pièces , 4 Chambres , 4 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
Les Jardins de Carthage à Le Kram,963500 TND,Immobilier Le Kram,Les Jardins de Carthage,205 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,448100 TND,Immobilier Le Kram,Les Jardins de Carthage,95 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,330000 TND,Immobilier Le Kram,Les Jardins de Carthage,58 						m² ,, 1 Chambre , 58 						m² ,,,,,,,,,,,,,,
Rejiche,280000 TND,Immobilier Rejiche,,220 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,Yes,10-20 ans,Yes
La Soukra à La Soukra,440000 TND,Immobilier La Soukra,La Soukra,114 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,Yes,5-10 ans,Yes
Aouina à La Marsa,225000 TND,Immobilier La Marsa,Aouina,110 						m² ,, 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,Yes,,,Yes,,,10-20 ans,
Bou Mhel à Boumhel Bassatine,360000 TND,Immobilier Boumhel Bassatine,Bou Mhel,147 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,Yes,,Yes
Akouda à Akouda,420000 TND,Immobilier Akouda,Akouda,180 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,Yes,,Yes
La Soukra à La Soukra,395000 TND,Immobilier La Soukra,La Soukra,153 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Bab El Khadra à Tunis,265000 TND,Immobilier Tunis,Bab El Khadra,100 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,,,,Yes
Nabeul à Nabeul,200000 TND,Immobilier Nabeul,Nabeul,100 						m² , 3 Pièces , 1 Chambre , 1 Salle de bain ,,,Bon état,,,,,,Yes,,,,,
